name_serie,release_date,channel,runtime,end_date,genre,rating,votes
Fairy Tail,"Oct. 06, 2012",Tokyo MX,24m,"Apr. 20, 2019",Accion,9.6,148
Brandy y el Sr. Bigotes,"Oct. 03, 2017",TV Tokyo,24m,"Sep. 25, 2018",Action & Adventure,9.6,146
13 Reasons Why,"Sep. 06, 2010",Cartoon Network,15m,"Dec. 02, 2013",Animacion,9.1,145
Virtual Hero: La Serie,"Feb. 13, 2010",Disney XD,22m,"Sep. 22, 2012",Action & Adventure,9.6,144
Boruto: Naruto Next Generations,"Apr. 06, 2005",TV Tokyo,24m,"Mar. 19, 2008",Animacion,9,143
Magical Doremi,"Nov. 20, 2017",Disney Channel,20m,"Sep. 15, 2018",Action & Adventure,9.3,141
Max Steel 2013,"Oct. 05, 2015",Boomerang,23m,"Oct. 21, 2017",Animacion,8.7,140
La casa de los dibujos,"Sep. 08, 2006",Toon Disney,30m,"Aug. 11, 2008",Animacion,9.4,138
Steins;Gate,"Apr. 23, 2013",Cartoon Network,11m,"Jul. 20, 2018",Action & Adventure,8.6,137
Superman: La serie animada,"Apr. 06, 2018",Netflix,24m,"Apr. 06, 2018",Action & Adventure,9,134
Gravity Falls,"Nov. 19, 1994",FOX,22m,"Jan. 31, 1998",Action & Adventure,9.6,134
Las olimpiadas de la risa,"Jul. 31, 2004",Cartoon Network,30m,"May. 13, 2006",Action & Adventure,9.4,134
Tate no Yuusha no Nariagari,"Jan. 18, 2019",Netflix,22m,"Jan. 18, 2019",Action & Adventure,8.8,132
Yu-Gi-Oh! GX,"Feb. 04, 2007",Cartoon Network,30m,"Aug. 31, 2008",Action & Adventure,9.5,131
El príncipe dragón,"Aug. 01, 2017",Cartoon Network,11m,"May. 04, 2018",Animacion,9.1,130
Las Chicas Superpoderosas Z,"Oct. 05, 2008",TV Tokyo,24m,"Mar. 19, 2014",Animacion,9.5,127
Kenja no Mago,"Jun. 17, 2019",Disney Channel,11m,"Jul. 18, 2019",Adventure,9.1,125
Hilda,"Sep. 21, 2018",Netflix,24m,"Sep. 21, 2018",Action & Adventure,9.5,124
Street Sharks,"Oct. 13, 1983",TV Tokyo,25m,"Oct. 06, 2002",Animacion,9.3,122
El espectacular Hombre Araña,"Nov. 18, 1998",Cartoon Network,30m,"Sep. 08, 2016",Action & Adventure,9.2,121
Psycho-Pass,"Aug. 23, 2003",TV Tokyo,30m,"May. 06, 2006",Action & Adventure,9.2,120
Digimon Savers (Digimon Data Squad) (2006),"Sep. 19, 2011",Nickelodeon,23m,"Jun. 13, 2016",Action & Adventure,9.1,120
31 Minutos,"Mar. 15, 2003",Televisión Nacional de ChileCartoon Network Latin America,30m,"Dec. 27, 2014",Comedia,9.1,117
Batman El Valiente,"Jul. 20, 2002",Nickelodeon,25m,"Nov. 25, 2006",Action & Adventure,9.6,117
Felix el gato,"Sep. 14, 2002",The WB Television NetworkKids' WB,30m,"Feb. 11, 2005",Action & Adventure,9.4,115
Robotboy,"Jul. 08, 2007",Cartoon Network,22m,"Jan. 04, 2008",Action & Adventure,9.5,114
Doug,"Dec. 23, 2016",Netflix,25m,"Dec. 23, 2016",Action & Adventure,9.5,112
PERSONA5 the Animation,"Aug. 11, 1991",Nickelodeon,11m,"Jun. 08, 2003",Animacion,9.1,110
Elfen Lied,"Dec. 07, 2019",Cartoon Network,11m,"Dec. 28, 2019",Action & Adventure,9.1,110
Detective Conan,"Jul. 05, 2010",TV Tokyo,25m,"Sep. 20, 2010",Action & Adventure,9.2,110
Loonatics,"Oct. 03, 2016",Disney XD,12m,"Dec. 02, 2017",Adolescentes,9.4,109
Love Live! Sunshine!!,"Sep. 30, 1960",American Broadcasting Company,30m,"Apr. 01, 1966",Animacion,8.9,109
El Tigre: las aventuras de Manny Rivera,"Oct. 25, 2000",Nickelodeon,24m,"Nov. 24, 2004",Animacion,9.7,107
Beyblade,"Sep. 13, 2013",Disney XD,11m,"Mar. 07, 2016",Animacion,9.2,107
